"Order ID","Sale Date","Sale price","COGS","Status","Store Name","Store Id","Customer Invoice Number"
"f4gt-1q7y","2020-07-16 13:44:22.505000","54.0","47.94","done","PandaNow (Wattana)","f4gt","ABB-0000005973"
"f3mt-ow8o","2020-07-16 13:50:21.769000","55.0","85.05","done","PandaNow (Sathorn)","f3mt","ABB-0000005974"
"f4gt-0jyh","2020-07-16 14:04:00.207000","74.0","50.94","done","PandaNow (Wattana)","f4gt","ABB-0000005975"
"f3mt-6845","2020-07-16 14:06:44.353000","65.0","51.29","done","PandaNow (Sathorn)","f3mt","ABB-0000005976"
"f4gt-u3gp","2020-07-16 12:53:03.208000","62.0","111.57","done","PandaNow (Wattana)","f4gt","ABB-0000005977"
"f3mt-lpfs","2020-07-16 14:09:17.969000","60.0","93.69","done","PandaNow (Sathorn)","f3mt","ABB-0000005978"
"f0yg-ojkj","2020-07-16 14:10:27.337000","432.0","329.38","done","PandaNow (Lat Phrao)","f0yg","ABB-0000005979"
"f4gt-w5m8","2020-07-16 14:13:22.945000","52.0","41.70","done","PandaNow (Wattana)","f4gt","ABB-0000005980"
"f0yg-5th4","2020-07-16 14:15:18.744000","54.0","47.94","done","PandaNow (Lat Phrao)","f0yg","ABB-0000005981"
"f0yg-qc46","2020-07-16 14:25:17.303000","50.0","40.00","done","PandaNow (Lat Phrao)","f0yg","ABB-0000005983"
"f3mt-l9e3","2020-07-16 14:35:13.910000","50.0","90.58","cancel","PandaNow (Sathorn)","f3mt","20207196"
"f3mt-mel8","2020-07-16 14:35:34.733000","58.0","95.88","done","PandaNow (Sathorn)","f3mt","ABB-0000005984"
"f6cs-afql","2020-07-16 14:37:08.644000","56.0","41.86","done","PandaNow (Ngamwongwan)","f6cs","ABB-0000005985"
"f4gt-sjj8","2020-07-16 14:37:34.927000","139.0","108.80","done","PandaNow (Wattana)","f4gt","ABB-0000005986"
"f4gt-l3gx","2020-07-16 14:44:41.233000","110.0","84.40","done","PandaNow (Wattana)","f4gt","ABB-0000005987"
"f6cs-izdo","2020-07-16 15:00:32.813000","45.0","53.28","done","PandaNow (Ngamwongwan)","f6cs","20207201"
"f3mt-11qf","2020-07-16 15:04:01.932000","183.0","139.66","done","PandaNow (Sathorn)","f3mt","ABB-0000005988"
"f4gt-19wj","2020-07-16 15:07:37.387000","174.0","115.42","done","PandaNow (Wattana)","f4gt","ABB-0000005989"
"f3mt-fens","2020-07-16 15:09:21.604000","68.0","29.90","done","PandaNow (Sathorn)","f3mt","ABB-0000005990"
"f3mt-9d81","2020-07-16 16:00:06.928000","169.0","117.81","done","PandaNow (Sathorn)","f3mt","ABB-0000005991"
"f4gt-gbvw","2020-07-16 16:26:03.233000","110.0","93.48","done","PandaNow (Wattana)","f4gt","ABB-0000005992"
"f6cs-qv3b","2020-07-16 16:34:28.450000","64.0","51.83","done","PandaNow (Ngamwongwan)","f6cs","ABB-0000005993"
"f0yg-cwah","2020-07-16 16:43:19.782000","205.0","158.46","done","PandaNow (Lat Phrao)","f0yg","ABB-0000005994"
"f3mt-ln0m","2020-07-16 16:51:57.121000","58.0","54.07","done","PandaNow (Sathorn)","f3mt","ABB-0000005996"
"f0yg-n3or","2020-07-16 16:51:59.746000","57.0","78.08","done","PandaNow (Lat Phrao)","f0yg","ABB-0000005995"
"f6cs-t6lj","2020-07-16 17:07:23.061000","220.0","180.36","done","PandaNow (Ngamwongwan)","f6cs","ABB-0000005997"
"f3mt-p8p1","2020-07-16 17:33:44.113000","105.0","146.04","done","PandaNow (Sathorn)","f3mt","ABB-0000005998"
"f6cs-bljs","2020-07-16 16:26:03.833000","57.0","47.94","done","PandaNow (Ngamwongwan)","f6cs","ABB-0000005999"
"f0yg-mrss","2020-07-16 17:53:21.877000","86.0","70.70","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006000"
"f0yg-vf7q","2020-07-16 17:55:04.181000","110.0","93.48","done","PandaNow (Lat Phrao)","f0yg","ABB-0000006001"
"f4gt-d4bf","2020-07-16 18:01:04.972000","180.0","133.32","done","PandaNow (Wattana)","f4gt","ABB-0000006003"
"f4gt-fhp2","2020-07-16 18:01:18.821000","110.0","93.48","done","PandaNow (Wattana)","f4gt","ABB-0000006002"
"f4gt-6lkg","2020-07-16 18:02:36.960000","232.0","162.69","done","PandaNow (Wattana)","f4gt","ABB-0000006004"
"f6cs-mg0j","2020-07-16 18:05:36.607000","97.24","83.11","done","PandaNow (Ngamwongwan)","f6cs","ABB-0000006005"
"f3mt-quq4","2020-07-16 18:06:17.672000","54.0","47.94","done","PandaNow (Sathorn)","f3mt","ABB-0000006006"
"f4gt-8gvl","2020-07-16 18:10:23.034000","364.0","298.46","done","PandaNow (Wattana)","f4gt","ABB-0000006008"
